index,col0,col1,col2,col3,color
277,22272,9792,23559,28797,2
278,9262,3270,19699,12190,1
279,12429,30561,26715,29347,3
280,10605,33455,7091,38716,2
281,29293,30185,5967,25075,3
282,27588,6621,2069,15390,1
283,20537,1330,15953,10450,2
284,34146,7255,38686,33428,1
285,891,22499,37299,3516,2
286,11995,30155,36047,33573,3
287,36136,1788,22045,27147,2
288,1876,14455,30234,4530,3
289,25699,39440,16890,5187,0
290,9266,18535,36207,34258,2
291,20423,12368,2806,33756,3
292,27638,33668,1157,18269,4
293,6736,23026,31894,39640,2
294,556,2986,23390,21252,1
295,13932,29703,23444,24929,0
296,27697,11304,2316,6783,3
297,2496,37277,26692,6025,2
298,30864,33982,36966,29706,4
299,5430,34120,19811,23304,3
300,37169,17530,867,8146,4
301,19531,25211,30845,13821,0
302,30028,24759,10398,6936,1
303,23350,26415,14457,4215,3
304,27740,10889,21107,8127,1
305,13337,25115,7109,33429,0
306,20291,18811,7660,39815,0
307,1685,28346,18563,5154,2
308,3662,16584,17256,30667,2
309,19778,20025,5670,667,0
310,39561,39872,31560,11096,1
311,34718,10964,20511,29985,0
312,2501,9635,22304,9345,0
313,20361,24390,15346,32279,0
314,5725,35665,18413,39635,2
315,17259,9822,23765,7270,2
316,17128,23668,12495,34791,2
317,24678,6827,20580,39165,2
318,29735,39095,5301,37733,3
319,24362,19276,20794,5405,2
320,24424,226,3870,34155,1
321,10319,21628,28014,21912,3
322,32082,15486,27931,34490,2
323,32092,8517,4715,365,0
324,13681,6809,8243,17168,2
325,39903,20771,12182,28064,1
326,7308,24703,20223,21520,4
327,32922,9738,30634,21054,4
328,29432,2466,3249,16560,4
329,17992,32194,8806,19415,0
330,10509,12201,21866,22481,2
331,8332,255,17879,27362,1
332,5132,22993,18210,4536,1
333,23277,36511,27367,9641,0
334,17731,5776,13316,34895,0
335,6888,34223,31489,13457,0
336,14196,29318,32737,26076,4
337,8197,8665,34331,6357,3
338,25533,1216,20109,6159,1
339,4588,28526,1650,23236,4
340,33302,33812,12538,26093,0
341,5079,10355,36913,8835,1
342,21705,11004,18913,9106,2
343,2108,10388,16144,25964,1
344,39095,352,7904,37540,4
345,26348,14170,32746,3712,3
346,11722,13718,25546,18668,3
347,38242,30947,22513,34496,2
348,37568,28411,30617,5876,3
349,32572,9707,37414,15597,0
350,37717,4596,35852,31494,1
351,22068,24645,26227,33883,3
352,28538,29846,3622,25924,0
353,170,17955,3910,7462,2
354,32349,17103,2550,29053,1
355,15483,39098,15887,36493,1
356,37342,30413,4839,18615,3
357,13775,33254,15635,27173,0
358,31948,23252,22187,24322,2
359,12912,23079,13374,5849,4
360,8178,2051,32143,27866,4
361,14897,26240,9871,21226,4
362,14885,5013,7727,36763,0
363,12860,23992,34987,35310,0
364,20763,19911,11633,21755,0
365,39027,2138,26,19078,2
366,27193,33847,12439,20067,0
367,8966,6834,7948,12570,0
368,2829,24381,26790,39598,2
369,4824,889,10427,30984,2
370,39197,8925,39317,14252,2
371,33059,32446,28407,6658,2
372,3209,18877,34543,34071,3
373,34579,38583,6055,1996,4
374,898,12151,13142,13229,0
375,13106,38283,17002,1404,4
376,4133,29655,33374,5020,4
377,10770,12690,1235,22674,2
378,14493,29197,14261,32114,4
379,39203,32711,21716,29076,3
380,18783,35828,11755,287,2
381,18596,9047,38969,33365,1
382,8354,35177,12312,22748,3
383,13345,37704,36897,26373,2
384,13875,7662,3047,24222,2
385,39907,11281,28139,7741,0
386,6384,19312,26416,21165,1
387,15872,24709,22138,36598,2
388,23743,12066,25040,34008,2
389,16544,36344,39129,16667,3
390,35551,14968,9836,2067,3
391,31205,12619,2239,19991,4
392,2460,17568,8006,9356,0
393,2551,15641,19159,31639,1
394,38697,7855,36458,22234,4
395,22572,2191,3142,954,3
396,13821,35402,31441,27695,3
397,28167,27568,13924,33342,4
398,17705,21231,1675,2744,2
399,32833,28362,33868,34151,3
400,16148,8869,36539,34447,3
401,26082,36792,3612,22789,3
402,19579,12222,36416,9030,2
403,21541,20098,7984,34117,1
404,12111,39135,19742,11330,0
405,19815,17357,15866,8187,0
406,13541,15574,652,23698,1
407,4272,15875,13868,18367,3
408,14146,18287,24925,13581,3
409,5272,32877,9971,22582,2
410,22127,28334,8740,8121,3
411,27917,13481,25145,3296,1
412,33215,12103,36826,13799,1
413,2786,22591,19834,10388,3
414,9332,34157,7858,9121,3
415,16501,22878,24632,10063,2
416,12778,15571,8611,33542,2
417,21142,12106,19549,20885,4
418,33926,14286,39448,13626,0
419,901,2067,13919,3899,1
420,28767,7716,25949,24794,4
421,14637,23983,29193,8005,1
422,9164,35249,39579,20783,0
423,35619,6051,35449,36393,4
424,7639,331,7446,10922,3
425,2203,24394,34447,33211,2
426,5738,18298,13770,2411,0
427,19667,10776,1096,1186,2
428,6484,38295,2171,1577,4
429,11054,30659,27219,4606,0
430,31604,13852,27625,29989,4
431,28373,25931,5056,5400,4
432,14056,21106,12653,4293,0
433,10845,11056,37967,8814,0
434,39929,25966,13194,28446,3
435,30883,28446,22197,21182,3
436,24546,10259,11711,2550,1
437,39990,34472,32637,33729,4
438,32065,32448,19007,19623,1
439,953,2139,34401,19993,3
440,37864,1960,4951,33003,4
441,19560,23287,16744,29766,0
442,35235,10685,2511,32601,0
443,27406,20119,22457,30722,4
444,3887,39432,27103,11521,0
445,7538,23421,28987,29338,3
446,36443,17634,8911,1530,0
447,27132,7785,21322,13161,4
448,10911,12841,28681,32834,0
449,34859,39588,9239,4964,1
450,6122,9222,21451,8152,1
451,15690,12306,23289,10949,2
452,37744,35277,13569,28139,2
453,16874,1155,23124,8940,2
454,33204,12449,38817,10986,4
455,34684,17005,15481,20554,3
456,39023,1821,28984,23556,1
457,37899,17916,29417,29575,3
458,27142,27451,38902,39434,4
459,10726,3882,19578,19149,2
460,12792,37397,223,6886,3
461,2734,9504,38096,24150,0
462,35352,16466,21439,22712,0
463,18728,22718,25730,12547,2
464,28508,26837,2775,16032,3
465,34589,20393,1139,37388,2
466,33105,25843,7814,38060,2
467,26880,39378,8728,38698,4
468,12016,7455,18411,4007,3
469,19477,1079,32365,2972,3
470,31665,37427,284,4043,3
471,99,23043,34042,19527,3
472,14472,29129,34929,38479,0
473,33243,6423,32837,31342,3
474,38102,26080,1317,13464,4
475,10180,9654,31396,14356,4
476,20688,11359,35305,27696,1
477,19775,25634,9808,6537,2
478,30266,10295,20671,19708,1
479,8662,3713,27584,15950,2
480,7586,25968,26162,27614,4
481,7642,26633,22319,31102,2
482,17117,32893,3749,25018,3
483,47,24856,2222,9179,4
484,25413,35548,33186,31177,1
485,548,30352,23974,29808,2
486,6632,7626,16477,37806,0
487,29550,23297,14548,37970,3
488,34849,20537,37719,39675,2
489,28343,16361,15820,903,3
490,27760,17370,17003,33005,3
491,36311,20112,29398,4846,3
492,3492,14066,22482,19044,3
493,28352,6645,19553,19632,3
494,14396,30654,28583,9428,1
495,2080,37633,31780,18060,3
496,33942,10729,4092,2016,4
497,20129,31259,23385,32094,0
498,15791,37203,14100,32869,2
499,27410,25918,19044,5353,0
500,29591,27037,10609,5680,2
501,10709,36970,10182,19799,3
502,17039,26994,29157,24388,2
503,4972,12370,17635,36496,2
504,36160,7985,8022,28915,4
505,21919,4658,39091,19666,1
506,15774,19378,18075,2282,0
507,15111,24538,5486,15478,1
508,15768,27180,17123,9821,4
509,33794,268,1205,26787,4
510,28386,38947,10739,12202,0
511,7967,17404,31178,22987,3
512,36252,31860,24673,974,0
513,20080,5369,31240,35419,1
514,36600,1864,39084,25446,4
515,23644,23286,15177,18929,0
516,7525,31685,38636,25741,2
517,25104,20848,1575,26327,2
518,15446,39328,19835,15958,2
519,10218,34956,14902,14922,1
520,8257,24433,21783,12885,1
521,8729,10631,27270,19452,4
522,23621,1226,17973,27468,4
523,36581,24473,6667,10661,2
524,15301,13,29961,31717,4
525,24063,15350,12402,30156,3
526,34329,38547,28833,36601,4
527,26818,33454,12807,26733,0
528,21770,38682,27008,34465,3
529,20284,3433,30594,36108,0
530,211,10858,21892,15062,2
531,1890,38630,36293,36383,1
532,30902,19430,36375,35685,4
533,12971,2540,25623,760,4
534,4124,9941,140,39138,0
535,27517,31139,31624,2236,3
536,39217,14648,21444,38227,0
537,3008,8603,37148,24069,4
538,21387,26865,17724,24182,4
539,14147,30226,29309,38697,3
540,29930,4982,1601,32189,0
541,27540,20181,24229,25471,2
542,291,13952,10026,7241,3
543,34260,37382,14836,32299,4
544,25341,650,16930,29787,0
545,12863,33474,20743,63,0
546,17297,16802,35883,19582,4
547,30328,28237,36786,25058,3
548,24923,10017,1162,38648,2
549,11041,32704,14344,16606,2
550,19562,13053,11440,38229,3
551,3761,31670,2498,16313,3
552,17654,35103,37742,2971,4
553,8223,26409,34717,37511,3
554,30640,17982,10344,24045,4
555,20258,33814,27128,13688,4
556,33859,39772,34544,24650,3
557,39292,23891,30315,429,2
558,13008,37973,39894,3166,4
559,28295,38416,7493,2841,2
560,8351,8596,28776,18105,0
561,12335,15338,12557,28370,0
562,22053,3409,21359,26416,3
563,23346,23551,35964,18093,2
564,24581,29698,18418,3382,2
565,37087,16616,37526,28961,2
566,15352,36286,14365,14067,0
567,38479,24006,12272,29635,3
568,16055,12749,28380,20579,3
569,31391,36692,16253,34713,1
570,23915,36955,37282,34897,0
571,22493,29629,21356,35148,0
572,27823,4839,4456,8066,3
573,12886,137,23971,37873,4
574,36367,14566,4960,5656,0
575,9142,16657,39617,35884,4
576,31583,24175,20893,2401,1
577,1536,12190,27366,18620,2
578,4508,18761,28324,16376,1
579,35194,4727,25071,15416,4
580,23537,16117,7654,27404,4
581,10349,38541,9586,36963,0
582,16697,36063,16964,37095,4
583,25764,13828,37534,8932,3
584,15764,37234,2405,4837,4
585,29275,21164,32325,35145,3
586,2945,11280,32124,27758,3
587,9685,15354,4376,8499,3
588,17273,33217,21798,3575,2
589,24014,12567,4009,2618,1
590,9011,30454,23990,30823,0
591,11292,14715,20809,14997,2
592,33276,19134,12512,10860,4
593,4693,31055,30774,25453,0
594,32381,28406,13983,28499,0
595,20394,30384,8438,12610,2
596,21618,15821,35248,39944,3
597,13617,8431,33061,37228,3
598,9596,15162,19191,2556,4
599,23154,5734,15456,15506,3
600,9502,33658,33140,35831,0
601,30904,28928,15220,31722,2
602,32313,14843,6248,12025,3
603,1168,25977,39011,853,3
604,14761,1869,22924,32762,2
605,10310,3132,7198,15315,0
606,13514,25776,26747,10400,4
607,28377,38866,19338,26088,4
608,25763,22150,25644,20950,3
609,6431,37914,4260,38082,4
610,34951,6937,12860,21488,0
611,26619,21264,1543,31752,4
612,17425,9206,11185,23265,1
613,23708,39851,11462,12353,1
614,11648,9975,7767,35010,4
615,33966,5150,19225,20049,2
616,4672,33577,34735,20525,2
617,11258,39846,16495,14935,3
618,10322,6818,16411,35903,0
619,19970,38899,8291,14297,4
620,2457,9283,5856,5716,2
621,18905,1113,5678,32398,0
622,25045,14155,12802,13949,4
623,22607,12013,14651,21167,1
624,4228,21090,4269,36434,3
625,20623,28769,2152,3881,0
626,36528,12200,39205,7264,0
627,9859,7976,3054,28236,3
628,103,38849,39455,34372,4
629,5603,20859,3438,15554,4
630,4016,34865,34704,25955,2
631,21266,31085,18273,39747,1
632,10991,36254,34880,20351,1
633,35585,21572,16055,23665,4
634,18500,33007,10753,38174,1
635,19686,36487,1776,28767,2
636,13673,33739,29923,5483,3
637,31027,9285,14514,35247,4
638,24967,24736,11166,1101,1
639,14338,20697,33731,36210,2
640,28777,27069,39419,11157,3
641,38276,15562,7929,4602,3
642,9709,39547,5064,26311,1
643,16921,15201,35928,28395,4
644,20102,34395,11898,3563,4
645,25896,3542,15675,33281,3
646,30530,19262,25814,33745,3
647,13872,7870,37396,16701,0
648,2665,1920,8636,16921,1
649,17609,22759,34333,4832,2
650,33607,16226,23951,28603,0
651,9667,532,9148,37161,1
652,20474,22817,17328,2353,1
653,33222,4925,21248,37069,3
654,29083,30077,31579,1987,2
655,6775,15676,13280,38397,4
656,9076,5136,4198,21651,0
657,9609,39384,21662,28298,1
658,11421,3496,23130,4347,1
659,29052,9965,9194,29070,4
660,29610,29518,8876,9421,0
661,33299,27087,33627,5559,3
662,24202,11241,29104,10393,2
663,35777,28018,35387,5536,4
664,30253,474,35251,21026,1
665,32276,10092,11135,35678,3
666,29671,15183,14481,18355,2
667,10422,21894,28349,18860,0
668,18886,5570,7456,15343,3
669,14812,18511,16953,17834,1
670,17329,18036,2339,30402,0
671,20591,38367,3786,2808,3
672,39404,25081,8802,3377,3
673,28114,31108,20167,36751,2
674,27992,6782,7757,19094,2
675,10846,38237,39366,16243,0
676,26314,22076,21562,22717,3
677,34243,24812,1008,5161,1
678,16743,29158,36892,4282,1
679,2633,12298,38198,28083,0
680,37970,17447,4310,19058,2
681,30923,7231,26994,15140,1
682,16414,1659,6965,35416,4
683,14476,22145,7303,9452,4
684,8992,24852,31540,33185,2
685,14776,37339,28375,24314,4
686,31400,13555,29467,3410,4
687,24256,16530,15782,1242,3
688,15257,36582,38468,23053,2
689,3333,10064,35763,12769,1
690,33026,30599,36341,17214,3
691,593,28757,3581,19396,0
692,5885,10179,23156,27353,2
693,1696,11663,13249,2970,1
694,32286,10548,36680,34441,4
695,4641,15384,24953,1283,4
696,29889,20401,22414,30749,0
697,38543,5005,37502,20512,0
698,8466,19563,13573,15663,3
699,35156,29751,3301,5010,3
700,4479,25643,31264,31872,3
701,38317,33747,9082,30134,4
702,5370,3502,22060,3760,0
703,22734,28302,9969,38254,4
704,1835,31864,11902,11965,1
705,25295,7688,35402,17722,0
706,6750,19209,38704,12632,3
707,3210,3906,17195,36909,3
708,28520,30780,3289,15163,1
709,1794,23341,35716,17422,2
710,34927,27866,29753,22380,1
711,17014,11075,390,11796,0
712,914,19193,6482,10833,2
713,4572,32879,19078,22206,0
714,28104,21958,18375,26605,1
715,15663,14855,11950,39839,3
716,34544,10790,39869,17090,2
717,4926,39483,2005,24119,2
718,24955,8025,27764,35388,1
719,22266,22516,20522,33679,0
720,35504,39509,5461,4857,3
721,31641,19707,12447,35677,0
722,22470,24029,26926,14913,4
723,27092,28652,12303,39662,0
724,16711,34380,26298,19729,2
725,3163,30887,22756,2109,0
726,20510,30425,9770,2597,1
727,26080,38693,21738,25117,1
728,3806,11330,14141,16733,0
729,30766,26845,10422,2993,1
730,22876,16986,9134,27890,4
731,5992,28148,36162,36315,0
732,24618,35598,37866,30842,2
733,26663,37353,28943,28537,0
734,25852,26053,16541,34160,1
735,16523,18038,1072,10774,0
736,11876,3168,12616,12526,1
737,38921,6016,25379,26981,2
738,2975,27004,13878,37390,4
739,33854,27340,27136,17856,1
740,10893,23234,36039,10687,4
741,10082,22148,38465,11853,4
742,18553,18916,22343,12686,2
743,39136,20695,24563,17328,4
744,30416,15965,5485,36778,0
745,39051,35147,35290,8168,2
746,36434,34966,35243,14610,0
747,34485,18246,21956,32405,2
748,16718,6619,38808,31593,4
749,18427,2687,2060,2801,0
750,25844,27318,39445,35462,3
751,13134,1812,38534,15798,0
752,11998,10400,36626,15438,0
753,33935,29090,34647,3374,4
754,7555,38712,21061,13834,0
755,16216,38768,25846,28325,0
756,32858,35822,10920,25040,0
757,20822,23537,27438,6100,0
758,35699,3123,36452,4027,2
759,5014,9946,19692,21773,2
760,31749,22389,10523,3864,2
761,39450,3937,37413,29108,2
762,18386,31497,7108,4778,2
763,5362,18743,37256,21738,1
764,39410,17907,17919,39720,1
765,7573,30582,7060,23277,2
766,11169,38270,19286,35021,0
767,16918,28130,23543,34500,4
768,37223,6617,4817,5092,3
769,18502,8572,20997,11120,3
770,21630,28366,19693,35242,2
771,6069,19618,33538,33446,4
772,13496,29781,7104,18017,4
773,8448,16509,10125,22746,4
774,19906,7914,11159,37236,1
775,25434,2071,5901,13065,3
776,24827,10351,33590,23588,0
777,25998,29469,10368,21200,0
778,18729,39043,19804,19962,4
779,30016,32432,24217,8141,1
780,16127,14838,23788,21841,3
781,28986,2354,24887,7183,0
782,25642,6249,35258,7957,4
783,21847,5366,28666,29130,4
784,29238,23751,35588,4630,3
785,32964,24536,19619,37519,1
786,34489,27853,36147,17394,3
787,38138,23456,37345,21464,3
788,33186,12523,29868,24554,3
789,11007,14000,31294,13585,3
790,30806,34662,15944,28700,3
791,36686,25985,21179,25977,1
792,12301,35414,8473,14094,2
793,16137,33210,9053,17632,4
794,32361,17944,30985,27945,1
795,1022,31835,21401,26413,2
796,38312,29378,7797,37102,2
797,35659,35032,30231,20356,0
798,5966,6033,26157,6938,3
799,23859,21358,3489,11715,2
800,22893,8675,30017,665,0
801,25197,861,23421,29312,4
802,39771,24251,38442,2439,0
803,880,27640,30862,20574,4
804,4038,10741,1427,18836,0
805,5367,36900,6069,15998,0
806,34170,38205,23514,37599,0
807,11370,4594,22810,17421,2
808,12673,28156,5798,28159,0
809,11735,36982,7314,7510,2
810,36826,39787,18897,16231,4
811,38957,17716,32035,12949,3
812,6354,9508,10673,26923,4
813,34875,32189,16245,30112,3
814,8368,39299,25076,15471,0
815,35062,21529,37859,9640,3
816,35411,7431,13301,33278,4
817,14100,34968,29866,18900,3
818,10607,11282,15235,39144,3
819,5149,20569,32099,33316,1
820,618,12303,37980,5521,0
821,18938,12568,21600,32392,1
822,18088,17909,24994,2213,4
823,33895,15842,31828,23186,4
824,10985,18808,33484,39195,1
825,17319,25015,2888,20027,4
826,16958,32751,14433,12294,3
827,5305,39768,22551,2405,0
828,10628,31201,36567,39084,3
829,21145,8587,33296,1474,0
830,13849,10732,30826,9180,3
831,24271,16378,27669,2366,2
832,27330,11271,14755,22622,2
833,4242,13124,6423,38073,2
834,36708,34355,24624,12797,1
835,3031,32338,3116,17285,3
836,19842,14253,5957,9242,1
837,1307,35696,24015,23961,3
838,32621,30156,29487,34122,1
839,1563,27529,4890,22021,3
840,12493,18612,9588,38458,2
841,22908,11107,3744,33294,4
842,3331,8078,6303,16350,3
843,32646,1845,25122,32049,1
844,14031,23414,34659,7088,1
845,9961,19951,19880,18919,3
846,25132,7211,36578,39090,3
847,21961,32972,39287,3464,1
848,37078,25633,25913,409,1
849,33836,13706,29045,27165,1
850,10749,10797,33268,14248,0
851,33896,38724,25437,22316,2
852,32973,21150,38952,23168,3
853,6499,35126,8139,16040,1
854,30691,4157,24924,15457,4
855,28559,34489,39899,16453,3
856,37145,23894,21619,7885,4
857,29999,194,10836,36866,4
858,13436,13637,8715,11772,3
859,27094,24932,24158,20028,4
860,37222,6736,24445,5596,0
861,29546,34366,27703,38294,3
862,4140,37943,29080,37473,3
863,28674,38392,510,10794,4
864,10248,15851,13676,16011,0
865,20731,2315,15136,26623,1
866,20297,6401,30349,10030,0
867,19926,14203,22612,707,1
868,4945,20218,37,27683,0
869,26104,21884,9403,25,3
870,28487,4309,5048,22559,1
871,21438,18902,22311,7916,4
872,781,36251,14853,29141,3
873,30991,26196,2515,8569,2
874,25469,9843,18450,25859,2
875,25272,25709,8052,32724,2
876,30411,31815,4449,39117,3
877,28223,353,8396,23270,4
878,25674,32210,18983,10229,3
